t,q0,q1,q2,q3,q4,q5,do
5945.355,-3.225008119756012e-05,-1.5707867218000793,-1.5708355903625488,-1.570860048333639,1.5708142518997192,2.384185791015625e-06,768
5945.3589999999995,-7.707277406865387e-05,-1.5707949731398294,-1.5708355903625488,-1.5708686314024867,1.5708061456680298,-1.794496645146637e-05,768
5945.362999999999,-2.0329152242481996e-05,-1.5707503493943769,-1.570855736732483,-1.5708281002440394,1.5707621574401855,6.597406172659248e-05,768
5945.366999999999,-5.704561342412262e-05,-1.5707705437001387,-1.5708035230636597,-1.5708447895445765,1.570737600326538,-4.560152162724762e-05,768
5945.371,-3.2726918355763246e-05,-1.570774726504471,-1.5708234310150146,-1.5708323917784632,1.570793628692627,3.0028731998754665e-05,768
5945.375,-3.6541615621388246e-05,-1.570815225640768,-1.5708190202713013,-1.5708447895445765,1.570831060409546,-6.181398500615387e-05,768
5945.379,-2.0329152242481996e-05,-1.570810934106344,-1.570831537246704,-1.5708166561522425,1.5708101987838745,2.384185791015625e-06,768
5945.383,-6.515184511357575e-05,-1.5707746486735523,-1.570855736732483,-1.5708848438658656,1.5707942247390747,-6.133714784795075e-05,768
5945.387,-2.0329152242481996e-05,-1.5707826411310926,-1.5707954168319702,-1.5708004436888636,1.5707979202270508,-1.7468129293263246e-05,768
5945.391,-2.843538393193512e-05,-1.5708071194090785,-1.5708355903625488,-1.5708362064757289,1.5707536935806274,-1.732503072560121e-06,768
5945.3949999999995,-4.593526021778871e-06,-1.5707705677817394,-1.570855736732483,-1.5708767376341761,1.570781946182251,6.198883056640625e-06,768
5945.398999999999,-4.464784731084137e-05,-1.5708071194090785,-1.5708190202713013,-1.5708891354002894,1.570814609527588,6.198883056640625e-06,768
5945.402999999999,2.7379988750908524e-05,-1.5707908433726807,-1.5708355903625488,-1.5708571873106898,1.5707979202270508,2.9897690183133818e-05,768
5945.407,-1.6514454976856996e-05,-1.5708590946593226,-1.570807695388794,-1.5708848438658656,1.570757508277893,6.198883056640625e-06,768
5945.411,-5.704561342412262e-05,-1.5707503329579886,-1.5708035230636597,-1.5708724460997523,1.5707776546478271,-1.3653432027638246e-05,768
5945.415,-1.2699757711231996e-05,-1.5707829330024943,-1.5708434581756592,-1.5708323917784632,1.5707979202270508,3.794050280703232e-05,768
5945.419,1.1444091796875e-05,-1.5707788114526302,-1.5708190202713013,-1.5708371601500453,1.5708264112472534,-1.3653432027638246e-05,768
5945.423,-1.6514454976856996e-05,-1.570754406737553,-1.570839762687683,-1.5708404980101527,1.570781946182251,1.9073486328125e-06,768
5945.427,1.9550323486328125e-05,-1.570778803234436,-1.5708516836166382,-1.5708924732603968,1.570757508277893,-5.547200338185121e-06,768
5945.431,-3.0199159795074593e-07,-1.5707908351540318,-1.570839762687683,-1.5708486042418421,1.5707979202270508,2.593171848275233e-05,768
5945.4349999999995,-4.593526021778871e-06,-1.570778803234436,-1.5708355903625488,-1.570860048333639,1.5707979202270508,9.981506082112901e-06,768
5945.438999999999,-2.462068666631012e-05,-1.5707949814157764,-1.5708515644073486,-1.5708767376341761,1.5707539319992065,2.5963727239286527e-05,768
5945.442999999999,-3.225008119756012e-05,-1.5708071194090785,-1.5708190202713013,-1.570808549920553,1.570814609527588,-1.732503072560121e-06,768
5945.447,-1.603761781865387e-05,-1.5708028278746546,-1.5708035230636597,-1.5709291897215785,1.570781946182251,1.79727630893467e-05,768
5945.451,1.1444091796875e-05,-1.570815225640768,-1.570791244506836,-1.5708686314024867,1.5708019733428955,-3.797212709599762e-05,768
5945.455,-2.462068666631012e-05,-1.5707705842181277,-1.5708036422729492,-1.5708810291686,1.570781946182251,2.985800165333785e-05,768
5945.459,-8.1364308492482e-05,-1.570815225640768,-1.5707954168319702,-1.5708490810790003,1.5708222389221191,-1.732503072560121e-06,768
5945.463,-4.593526021778871e-06,-1.5708633861937464,-1.5708190202713013,-1.570824762383932,1.5707581043243408,-1.7468129293263246e-05,768
5945.467,-4.593526021778871e-06,-1.5707867256463324,-1.570799469947815,-1.570808549920553,1.5707658529281616,-1.732503072560121e-06,768
5945.471,-1.2699757711231996e-05,-1.5707705514253867,-1.570807695388794,-1.5708724460997523,1.5707255601882935,-1.732503072560121e-06,768
5945.474999999999,-8.408223287403871e-06,-1.5708071194090785,-1.5708638429641724,-1.5708643398680628,1.5707776546478271,1.9073486328125e-06,768
5945.478999999999,-8.8993703023732e-05,-1.5707908433726807,-1.5708035230636597,-1.570824762383932,1.5707498788833618,-9.838734762013246e-06,768
5945.483,-2.080598940068512e-05,-1.570794944662186,-1.570791244506836,-1.5708724460997523,1.5708061456680298,-4.1309987203419496e-05,768
5945.487,-4.593526021778871e-06,-1.5707826247283556,-1.5708035230636597,-1.570904394189352,1.5708227157592773,-2.6051198140919496e-05,768
5945.491,-4.464784731084137e-05,-1.570774673466378,-1.5708355903625488,-1.5708810291686,1.5707859992980957,-1.794496645146637e-05,768
5945.495,-4.8939381734669496e-05,-1.5708228550352992,-1.570831298828125,-1.5708290539183558,1.5707581043243408,1.9073486328125e-06,768
5945.499,-7.039705385381012e-05,-1.5707747100826346,-1.5707870721817017,-1.5708486042418421,1.570793628692627,1.3991171726956964e-05,768
5945.503,-6.515184511357575e-05,-1.570770527149154,-1.5708231925964355,-1.5708447895445765,1.5707942247390747,1.430511474609375e-05,768
5945.507,-6.133714784795075e-05,-1.5708071194090785,-1.5708190202713013,-1.5708643398680628,1.570810317993164,-4.6078358785450746e-05,768
5945.5109999999995,-6.133714784795075e-05,-1.5707985363402308,-1.5708272457122803,-1.5708443127074183,1.570781946182251,4.179481038590893e-05,768
5945.514999999999,-8.408223287403871e-06,-1.5707747100826346,-1.570815086364746,-1.5708686314024867,1.5708061456680298,-9.838734762013246e-06,768
5945.518999999999,-6.181398500615387e-05,-1.5707985363402308,-1.5708436965942383,-1.5708571873106898,1.5708186626434326,-3.415742983037262e-05,768
5945.523,-1.6514454976856996e-05,-1.5708028278746546,-1.570807695388794,-1.5708767376341761,1.5708019733428955,-9.838734762013246e-06,768
5945.527,-8.885060445606996e-06,-1.5707302173435274,-1.5708556175231934,-1.570852895776266,1.5708061456680298,-2.2236500875294496e-05,768
5945.531,-4.8939381734669496e-05,-1.570810934106344,-1.5708190202713013,-1.5708447895445765,1.5708309412002563,-2.175966371709137e-05,768
5945.535,7.152557373046875e-06,-1.5707867009226284,-1.5708436965942383,-1.5708404980101527,1.570793628692627,-1.7468129293263246e-05,768
5945.539,-3.6541615621388246e-05,-1.5708228550352992,-1.570839762687683,-1.5708323917784632,1.570770025253296,-1.3653432027638246e-05,768
5945.543,-8.565584291631012e-05,-1.5707908433726807,-1.570791244506836,-1.5708323917784632,1.5708023309707642,-5.799928774052887e-05,768
5945.547,-3.6541615621388246e-05,-1.570810934106344,-1.570839762687683,-1.5708276234068812,1.5707979202270508,1.9073486328125e-06,768
