t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
11496.999,-0.2723576587856513, -1.9630567411061932, -1.5100702637851944, -1.1217319942408288, 1.6422073574895129, 1.7508817278402613,-0.6047942441527311, 0.3353893249646425, -0.5847626989187434, 0.33230025764911697, -0.03484771076099078, 0.2610606916289852,1.0,-8731.313701178704, -2829.6676161423875, 21513.67889649725, -76.61350143711198, 220.71783958085206, 37.90979846170234,1.0,769
11497.007,-0.2749775357008071, -1.961612556344729, -1.5125894164587672, -1.120298533278051, 1.6420571195395686, 1.7520079914768236,-0.6087971423973361, 0.3335845012681992, -0.5821599709271793, 0.33171087198136323, -0.03474535659370796, 0.2606488936809245,1.0,-8732.081725511243, -2829.471892166638, 21513.70217535163, -76.63293338090935, 220.65240259384808, 37.92177425722221,1.0,769
11497.015,-0.27760385739598004, -1.9601821353616646, -1.5150869434282432, -1.1188735144539388, 1.641907947043329, 1.7531278309372742,-0.612807097854923, 0.3317518271119437, -0.5795261220040434, 0.33111755676930377, -0.034639726043409994, 0.26022857821583023,1.0,-8731.092709119644, -2828.842334615945, 21513.89993939158, -76.64575677079063, 220.72137465427943, 37.92918603226562,1.0,769
11497.023,-0.2802366064579198, -1.9587654817683005, -1.5175628938218821, -1.1174568823223225, 1.6417598449607629, 1.7542412651439603,-0.616823692155265, 0.32989109164694375, -0.5768608701333989, 0.33052021568135725, -0.034530816322567714, 0.25979982045205224,1.0,-8731.092619086736, -2829.4912009828204, 21514.378245964872, -76.63350756333108, 220.7393666329388, 37.911987594380946,1.0,769
11497.030999999999,-0.28287576497509637, -1.9573625995591568, -1.5200173157993166, -1.1160485820261927, 1.64161281815034, 1.7553483135098196,-0.6208464960190792, 0.32800208776384354, -0.5741639363449731, 0.3299187509970291, -0.03441862534614966, 0.2593626977305693,1.0,-8731.41675108733, -2830.845511668941, 21514.723387501945, -76.59068216286963, 220.72408435968248, 37.907514373724666,1.0,769
11497.038999999999,-0.28552131453537477, -1.955973493097643, -1.5224502565712763, -1.1146485592925481, 1.6414668713679934, 1.7564489959405587,-0.6248750692098268, 0.32608461229287894, -0.5714350449299314, 0.32931306362734547, -0.03430315175208999, 0.25891728956558524,1.0,-8731.653840107225, -2829.9191250514777, 21514.49173914751, -76.6077285927752, 220.7228483457152, 37.91368283939269,1.0,769
11497.046999999999,-0.2881732362237619, -1.954598167101901, -1.5248617624188894, -1.1132567604274772, 1.6413220092660883, 1.757543332836766,-0.6289089604987682, 0.32413846620432624, -0.5686739236576596, 0.3287030531363144, -0.034184394921430175, 0.25846367769106166,1.0,-8733.131207102912, -2829.6497877853953, 21514.121223984064, -76.61357959201331, 220.6609622024281, 37.90816571347642,1.0,769
11497.055,-0.29083151062022417, -1.953236626630794, -1.5272518787126081, -1.1118731323114694, 1.641178236392397, 1.7586313450959508,-0.6329477076311145, 0.32216345481434394, -0.5658803039997296, 0.32808861776493514, -0.03406235499902092, 0.25800194611047406,1.0,-8731.447798896364, -2829.401772196392, 21514.493243852336, -76.60903906109368, 220.75493705682499, 37.9167643619316,1.0,769
11497.063,-0.29349611779757634, -1.9518888770700604, -1.5296206499307496, -1.1104976223949494, 1.641035557189078, 1.7597130541145107,-0.6369908373076855, 0.32015938799016436, -0.5630539213535329, 0.32746965445607695, -0.033937032913739076, 0.25753218114180604,1.0,-8731.870637778968, -2830.2599452373825, 21514.501552785398, -76.59673785171248, 220.74897203767813, 37.9167600426739,1.0,769
11497.071,-0.2961670373194458, -1.9505549241186158, -1.5319681196776536, -1.1091301786940297, 1.6408939759916663, 1.7607884817896216,-0.6410378651646975, 0.3181260803622858, -0.5601945152754876, 0.32684605888241014, -0.03380843039922542, 0.25705447146597926,1.0,-8731.916063703908, -2830.1251637406967, 21513.91461766322, -76.61009561775043, 220.72714884595092, 37.911813491281805,1.0,769
11497.079,-0.298844248238308, -1.9492347737749993, -1.5342943307014947, -1.107770749786468, 1.6407534970280675, 1.7618576505210577,-0.6450882957699106, 0.31606335153529985, -0.5573018297128184, 0.3262177254752725, -0.033676550014404165, 0.2565689081719723,1.0,-8731.997157491927, -2828.990012744278, 21513.6207687027, -76.64106195630453, 220.71889604399388, 37.91655843202105,1.0,769
11497.087,-0.30152772909360603, -1.9479284323239678, -1.536599324911724, -1.1064192848078331, 1.6406141244175614, 1.7629205832129298,-0.6491416226246972, 0.31397102630250645, -0.5543756132410383, 0.32558454745562543, -0.03354139516382165, 0.2560755848005203,1.0,-8732.833376466262, -2828.9239075424775, 21513.596028219494, -76.6297092569261, 220.6597342840234, 37.90941393572979,1.0,769
11497.095,-0.3042174579099397, -1.946635906323234, -1.5388831433961832, -1.1050757334478671, 1.6404758621698128, 1.7639773032753472,-0.6531973281737515, 0.3118489348629461, -0.5514156193049536, 0.3249464168672145, -0.03340297011825504, 0.2555745973888843,1.0,-8730.80844082527, -2829.6925337120065, 21513.87385398646, -76.61994364759366, 220.76598995722748, 37.9227412244492,1.0,769
11497.103,-0.30691341219533985, -1.945357202590337, -1.5411458264378686, -1.1037400459470366, 1.64033871418389, 1.7650278346260004,-0.6572548838254092, 0.3096969130395026, -0.548421606462014, 0.3243032246115505, -0.03326128003517513, 0.25506604451405607,1.0,-8731.341134257626, -2830.2790184851356, 21513.712258692758, -76.60359860917563, 220.71660886292125, 37.909750339739844,1.0,769
